event_id,user_id,amount,status,event_dt
1,1594,45.55,NEW,2024-04-12
2,1802,26.06,COMPLETE,2024-06-28
3,1963,24.63,COMPLETE,2024-04-02
4,1068,5.62,PENDING,2024-01-15
5,1128,1.78,COMPLETE,2024-04-16
6,1195,10.84,NEW,2024-03-12
7,1139,18.9,PENDING,2024-07-07
8,1443,56.38,PENDING,2024-01-21
9,1282,71.44,COMPLETE,2024-04-12
10,1311,15.15,NEW,2024-05-01
11,1745,55.3,COMPLETE,2024-03-15
12,1534,41.82,NEW,2024-03-28
13,1664,20.26,COMPLETE,2024-04-26
14,1276,0.69,NEW,2024-04-09
15,1060,62.93,COMPLETE,2024-04-13
16,1318,115.73,NEW,2024-05-31
17,1889,25.65,PENDING,2024-05-10
18,1051,14.13,NEW,2024-05-29
19,1855,218.07,COMPLETE,2024-02-22
20,1152,32.16,PENDING,2024-01-02
21,1748,25.31,COMPLETE,2024-03-28
22,1310,194.56,NEW,2024-06-06
23,1813,169.89,COMPLETE,2024-02-07
24,1543,59.48,NEW,2024-05-09
25,1566,67.19,NEW,2024-07-10
26,1863,24.56,PENDING,2024-07-06
27,1388,8.15,NEW,2024-01-21
28,1547,85.2,NEW,2024-06-09
29,1621,10.35,COMPLETE,2024-02-27
30,1176,59.65,COMPLETE,2024-01-22
31,1361,282.17,COMPLETE,2024-03-29
32,1313,305.41,NEW,2024-02-18
33,1806,27.36,NEW,2024-02-28
34,1847,97.85,COMPLETE,2024-06-18
35,1096,64.26,NEW,2024-07-06
36,1880,208.49,COMPLETE,2024-01-15
37,1212,31.67,NEW,2024-07-08
38,1828,0.37,COMPLETE,2024-07-08
39,1136,17.74,PENDING,2024-06-23
40,1005,43.0,COMPLETE,2024-07-08
41,1108,37.94,NEW,2024-02-20
42,1546,156.72,COMPLETE,2024-04-17
43,1038,114.12,NEW,2024-02-24
44,1661,35.6,COMPLETE,2024-03-04
45,1424,61.2,COMPLETE,2024-05-10
46,1629,10.04,NEW,2024-02-20
47,1260,228.42,PENDING,2024-05-14
48,1425,273.99,PENDING,2024-01-21
49,1086,390.22,PENDING,2024-03-13
50,1464,202.92,PENDING,2024-06-15
51,1075,19.11,PENDING,2024-01-18
52,1470,4.73,PENDING,2024-05-11
